"id_klienta","nazwisko","imie","adres","telefon","adres_email"
"1","Suchodolski","Wojciech","Bydgoszcz ul. Jana Pawła II 13/4","854 543 435","suchodolskiwojciech@opoczta.pl"
"2","Kuminowicz","Robert","Zalaski Wielkie 15a","639 043 623","kuminowiczzalaskirobert@wikipedia.co.zw"
"3","Czaplicki","Michał","Choroszcz plac Brodowicza 1","609 213 742","czaplickimichal@discord.gg"
"4","Katarzyna","Anna","Gdańsk Zwycięstwa 8/21","968 236 747","37annakatarzyna21@vatican.va"
"5","Umarov","Gulszat","Karaganda ul. Nosolev 4","4992 701 283","gulszat_umarov@kazachstancheats.kz"
"6","Lincki","Marian","Staro Gleby 15b","313 536 634","LinckiMarian23@aldacraft.pl"
"7","Jennicka","Marianna","Chłopki Średnie 9f","535 087 535","Mariannauberkoks1337@dragon-survival.eu"
"8","Gaben","Newell","Walwa 3","244 523 235","Gabenscamnewell@valve.com"
"9","Ostrowski","Mieczysław","Koszalin Szpitalna 3/2","321 643 646","mietek2137@gmail.com"
"10","Joncki","Barabasz","Miastko Jedności 3","420 523 451","barabaszkamiljoncki@poczta.ru"
